ds,temp,wind_speed
2022-02-14,-2.0,12.6
2022-02-15,-3.7,10.4
2022-02-16,-7.3,9.4
2022-02-17,-9.6,9.8
2022-02-18,-8.1,22.1
2022-02-19,-3.6,14.8
2022-02-20,0.4,7.6
2022-02-21,1.6,8.3
2022-02-22,1.7,8.0
2022-02-23,4.6,10.7
2022-02-24,3.2,7.6
2022-02-25,4.3,7.2
2022-02-26,3.4,7.1
2022-02-27,3.0,7.4
2022-02-28,5.4,7.9
2022-03-01,6.1,7.9
2022-03-02,4.8,8.2
2022-03-03,4.9,8.4
2022-03-04,6.2,10.8
2022-03-05,7.5,16.3
2022-03-06,6.6,9.3
2022-03-07,3.7,12.6
2022-03-08,3.8,11.2
2022-03-09,3.7,15.6
2022-03-10,6.2,10.1
2022-03-11,6.8,10.8
2022-03-12,7.1,9.4
2022-03-13,8.9,13.0
2022-03-14,7.3,15.8
2022-03-15,1.9,15.5
2022-03-16,1.4,9.2
2022-03-17,3.5,16.6
2022-03-18,3.3,16.1
2022-03-19,-0.1,7.8
2022-03-20,0.3,9.8
2022-03-21,2.6,17.2
2022-03-22,1.3,15.4
2022-03-23,-0.7,10.7
2022-03-24,-0.7,10.6
2022-03-25,1.3,11.2
2022-03-26,8.2,12.8
2022-03-27,6.7,18.1
2022-03-28,6.0,13.0
2022-03-29,6.6,32.8
2022-03-30,3.3,11.5
2022-03-31,7.6,15.5
2022-04-01,11.9,8.2
2022-04-02,14.1,8.2
2022-04-03,13.9,11.3
2022-04-04,14.3,10.1
2022-04-05,16.2,9.0
2022-04-06,18.0,10.5
2022-04-07,19.5,38.6
2022-04-08,17.8,12.5
2022-04-09,13.5,12.2
2022-04-10,13.9,12.1
2022-04-11,15.3,11.6
2022-04-12,16.0,14.2
2022-04-13,16.0,9.0
2022-04-14,14.5,10.5
2022-04-15,15.3,8.1
2022-04-16,16.2,10.2
2022-04-17,18.1,13.5
2022-04-18,18.6,7.3
2022-04-19,18.7,15.1
2022-04-20,11.6,10.1
2022-04-21,12.3,4.9
2022-04-22,15.5,7.4
2022-04-23,17.6,18.3
2022-04-24,15.0,12.8
2022-04-25,12.3,8.7
2022-04-26,11.6,13.1
2022-04-27,11.3,11.2
2022-04-28,13.4,14.4
2022-04-29,16.2,15.3
2022-04-30,18.2,7.6
2022-05-01,19.9,15.0
2022-05-02,21.4,7.2
2022-05-03,20.1,16.6
2022-05-04,18.7,14.2
2022-05-05,15.9,9.8
2022-05-06,17.4,8.3
2022-05-07,18.4,8.6
2022-05-08,19.2,11.8
2022-05-09,17.3,10.0
2022-05-10,20.7,17.6
2022-05-11,15.5,9.8
2022-05-12,17.0,6.4
2022-05-13,18.4,9.4
2022-05-14,16.1,12.2
2022-05-15,14.8,9.7
2022-05-16,16.5,6.5
2022-05-17,18.5,5.5
2022-05-18,19.1,19.1
2022-05-19,18.3,10.5
2022-05-20,18.3,11.8
2022-05-21,18.2,16.6
2022-05-22,14.4,16.5
2022-05-23,10.7,13.6
2022-05-24,15.4,12.2
2022-05-25,20.0,18.0
2022-05-26,21.8,12.2
2022-05-27,22.3,11.0
2022-05-28,16.6,15.1
2022-05-29,12.8,6.8
2022-05-30,14.2,7.5
2022-05-31,14.8,14.5
2022-06-01,18.1,12.4
2022-06-02,17.5,12.4
2022-06-03,18.3,10.8
2022-06-04,16.0,18.6
2022-06-05,18.4,10.8
2022-06-06,19.5,7.1
2022-06-07,21.0,10.5
2022-06-08,22.3,9.4
2022-06-09,23.3,20.9
2022-06-10,23.5,14.7
2022-06-11,23.1,22.1
2022-06-12,23.1,24.3
2022-06-13,21.5,16.7
2022-06-14,22.4,10.5
2022-06-15,21.0,15.0
2022-06-16,21.1,11.6
2022-06-17,21.7,8.6
2022-06-18,20.9,18.7
2022-06-19,21.6,13.8
2022-06-20,22.7,15.4
2022-06-21,21.8,11.1
2022-06-22,24.1,10.0
2022-06-23,24.8,14.9
2022-06-24,21.3,16.5
2022-06-25,23.7,9.1
2022-06-26,25.8,8.7
2022-06-27,27.7,15.3
2022-06-28,26.6,10.5
2022-06-29,27.5,17.1
2022-06-30,28.4,25.8
2022-07-01,24.6,20.5
2022-07-02,24.2,20.1
2022-07-03,25.4,8.9
2022-07-04,28.7,19.1
2022-07-05,20.0,10.0
2022-07-06,23.6,13.0
2022-07-07,22.8,16.6
2022-07-08,22.3,11.9
2022-07-09,23.1,12.0
2022-07-10,24.0,10.5
2022-07-11,22.9,19.5
2022-07-12,22.7,15.5
2022-07-13,22.5,12.6
2022-07-14,22.9,10.2
2022-07-15,24.6,10.0
2022-07-16,26.8,9.5
2022-07-17,28.6,15.5
2022-07-18,26.3,14.6
2022-07-19,24.1,12.6
2022-07-20,25.6,13.0
2022-07-21,28.0,9.0
2022-07-22,29.7,9.4
2022-07-23,29.9,9.8
2022-07-24,28.9,12.3
2022-07-25,28.0,9.2
2022-07-26,28.6,8.6
2022-07-27,31.1,20.9
2022-07-28,28.3,18.7
2022-07-29,26.4,19.5
2022-07-30,22.3,15.2
2022-07-31,23.7,9.7
2022-08-01,23.9,8.2
2022-08-02,25.4,10.2
2022-08-03,24.7,12.4
2022-08-04,23.7,14.2
2022-08-05,25.1,11.2
2022-08-06,24.6,14.5
2022-08-07,23.8,12.1
2022-08-08,24.4,12.0
2022-08-09,24.4,10.5
2022-08-10,23.2,13.6
2022-08-11,24.1,13.2
2022-08-12,24.0,13.7
2022-08-13,24.2,8.2
2022-08-14,26.3,11.3
